messageKey,,en,de,es,fr,pt,ru
blueprint.description.horizons.engineer_a1_invite,Gain access: Gain invitation from Colonia Council.,Gain access: Gain invitation from Colonia Council.,Zugang erhalten: Erhalten Sie Einladungen vom Colonia Council.,Obtención de Acceso: obtenga invitación del Consejo de Colonia.,Invitation: Gagnez l’invitation du Conseil de Colonia.,Ganhe acesso: ganhe convite do Conselho da Colonia.,Получить доступ: получить приглашение от Совета Колонии.
blueprint.description.horizons.engineer_a1_learn,Learn about: Reach level 3 and 33% reputation with Elvira Martuuk.,Learn about: Reach level 3 and 33% reputation with Elvira Martuuk.,Erfahren Sie mehr über: Ruf der Stufe 3 und 33% mit Elvira Martuuk.,Descubrimiento: alcanzar la reputación de nivel 3 y 33% con Elvira Martuuk.,Découverte: Atteignez la réputation de niveau 3 et 33% avec Elvira Martuuk.,Aprenda sobre: Alcance Nível 3 e 33% de reputação com Elvira Martuuk.,Узнать о нем: Достигнуть репутации уровня 3 и дополнительно 33% с Эльвирой Мартуук.
blueprint.description.horizons.engineer_a1_unlock,"Initial contract: Provide 100,000 credits worth of bounty vouchers.","Initial contract: Provide 100,000 credits worth of bounty vouchers.",Erstvertrag: Geben Sie 18.000 Gutscheine im Wert von 100.000 Gutscheinen zur Verfügung.,"Contrato inicial: Proporcione 100,000 créditos en cupones de recompensas.",Contrat initial: fournir 100 000 crédits de primes.,Contrato inicial: Forneça 100.000 créditos no valor de cupons de recompensa.,Первоначальный контракт: предоставьте ваучеры на 100 000 кредитов.
blueprint.description.horizons.engineer_a2_invite,"Gain access: You must then do missions for Party of Yoru in the Yoru system. Once friendly with the faction, you will receive an invitation to the Engineer.","Gain access: You must then do missions for Party of Yoru in the Yoru system. Once friendly with the faction, you will receive an invitation to the Engineer.","Zugriff erhalten: Sie müssen dann Missionen für die Party von Yoru im YORU -System durchführen. Sobald Sie mit der Fraktion befreundet sind, erhalten Sie eine Einladung an den Ingenieur.","Obtención de Acceso: entonces debe hacer misiones para Party of Yoru en el sistema Yoru. Una vez amigable con la facción, recibirá una invitación al ingeniero.","Invitation: vous devez faire des missions pour Party of Yoru dans le système Yoru. Une fois amical avec la faction, vous recevrez une invitation à l’ingénieur.","Ganhe acesso: você deve fazer missões para o Party of Yoru no sistema YORU. Uma vez amigável com a facção, você receberá um convite para o engenheiro.","Получите доступ: затем вы должны выполнять миссии для партии Йору в системе Йору. После того, как вы дружелюбны с фракцией, вы получите приглашение инженеру."
blueprint.description.horizons.engineer_a2_learn,Learn about: Reach level 3 and 33% reputation with Elvira Martuuk.,Learn about: Reach level 3 and 33% reputation with Elvira Martuuk.,Erfahren Sie mehr über: Ruf der Stufe 3 und 33% mit Elvira Martuuk.,Descubrimiento: alcanzar la reputación de nivel 3 y 33% con Elvira Martuuk.,Découverte: Atteignez la réputation de niveau 3 et 33% avec Elvira Martuuk.,Aprenda sobre: Alcance Nível 3 e 33% de reputação com Elvira Martuuk.,Узнать о нем: Достигнуть репутации уровня 3 и дополнительно 33% с Эльвирой Мартуук.
blueprint.description.horizons.engineer_a2_unlock,Initial contract: Zachariah requires a donation of 25T of Xihe Biomorphic Companions - obtain these at Zhen Dock station in Xihe.,Initial contract: Zachariah requires a donation of 25T of Xihe Biomorphic Companions - obtain these at Zhen Dock station in Xihe.,Erstvertrag: Zachariah erfordert eine Spende von 25 t xihe biomorphen Gefährten - erhalten Sie diese an der Zhen -Dock -Station in Xihe.,Contrato inicial: Zachariah requiere una donación de 25T de Xihe Compañeros biomórficos,Contrat initial: Zachariah exige un don de 25T de compagnons biomorphes XiHe - les obtenir à la station de quai Zhen à Xihe.,Contrato inicial: Zachariah requer uma doação de 25t de companheiros biomórficos XIHE - obtê -los na estação Zhen Dock em XIHE.,Первоначальный контракт: Захария требует пожертвования 25T биоморфных компаньонов XIHE - Получить их на станции док -док в Zhen в Сихе.
blueprint.description.horizons.engineer_a3_invite,Gain access: By invitation from Sirius Corporation - this is obtained by taking mission for the faction at Sirius until you reach Allied status with Sirius Corporation.,Gain access: By invitation from Sirius Corporation - this is obtained by taking mission for the faction at Sirius until you reach Allied status with Sirius Corporation.,"Zugang erhalten: Auf Einladung der Sirius Corporation - Dies wird durch die Mission für die Fraktion bei Sirius erhalten, bis Sie bei der Sirius Corporation den Alliierten Status erreichen.",Obtención de Acceso: por invitación de Sirius Corporation: esto se obtiene tomando misión para la facción en Sirius hasta que alcance el estado aliado con Sirius Corporation.,Invitation: par invitation de Sirius Corporation - ceci est obtenu en prenant des missions pour la faction dans le système Sirius jusqu’à ce que vous atteigniez le statut allié à Sirius Corporation.,Ganhe acesso: por convite da Sirius Corporation - Isso é obtido adotando missão para a facção em Sirius até que você atinja o status aliado da Sirius Corporation.,"Получите доступ: пригласив Sirius Corporation - это получено путем принятия миссии для фракции в Sirius, пока вы не достигнете статуса союзника в Sirius Corporation."
blueprint.description.horizons.engineer_a3_learn,Learn about: Reach level 3 and 33% with Elvira Martuuk.,Learn about: Reach level 3 and 33% with Elvira Martuuk.,Erfahren Sie mehr über: Erreichung von Level 3 und 33% mit Elvira Martuuk.,Descubrimiento: alcanzar el nivel 3 y 33% con Elvira Martuuk.,Découverte: Atteignez les niveaux 3 et 33% avec Elvira Martuuk.,Aprenda sobre: Alcance Nível 3 e 33% com Elvira Martuuk.,Узнать о нем: Достигнуть репутации уровня 3 и дополнительно 33% с Эльвирой Мартуук.
blueprint.description.horizons.engineer_a3_unlock,"Initial contract: 25T of Modular Terminals - obtain these from missions for Sirius Corporation at Efremov Plant planetary base, close to Qwent Research base.","Initial contract: 25T of Modular Terminals - obtain these from missions for Sirius Corporation at Efremov Plant planetary base, close to Qwent Research base.",Erstvertrag: 25T modularer Terminals - Erhalten Sie diese von Missionen für die Sirius Corporation an der Efremov Plantary Base in der Nähe der Qwent Research Base.,"Contrato inicial: 25T de terminales modulares: obtengalas de misiones para Sirius Corporation en la base planetaria de la planta EFREMOV, cerca de la base de investigación de Qwent.","Contrat initial: 25T de terminaux modulaires - Obtenez-les à partir de missions pour Sirius Corporation à la base planétaire de l’usine d’Efremov, proche de la base de recherche Qwent.","Contrato inicial: 25t de terminais modulares - Obtenha -os de missões para a Sirius Corporation na Base Planetária Plantal Efremov, perto da Base de Pesquisa Qwent.","Первоначальный контракт: 25 шт. модульных терминалов - Получить их от миссий для корпорации Sirius на планетарной базе Efremov Plant, недалеко от исследовательской базы Qwent."
blueprint.description.horizons.engineer_a3a_invite,Gain access: When you have visited a system at least 5KLy from your original start system.,Gain access: When you have visited a system at least 5KLy from your original start system.,Zugriff erhalten: Wenn Sie ein System mindestens 5 km von Ihrem ursprünglichen Startsystem besucht haben.,Obtención de Acceso: cuando haya visitado un sistema al menos 5kly desde su sistema de inicio original.,Invitation: lorsque vous avez visité un système à au moins 5000 al de votre système de départ d’origine.,Ganhe acesso: quando você visitar um sistema pelo menos 5kly a partir do seu sistema de início original.,"Доступ к получению: когда вы посетили систему, по крайней мере, в 5 км от вашей первоначальной системы начала."
